District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Moradabad,Urban,100,46.2,3.2,93.6
Rampur,Rural,100,64.9,6.2,56.4
Rampur,Total,100,60.6,5.6,66.2
Rampur,Urban,100,48.5,3.9,94.3
Jyotiba Phule Nagar,Rural,100,60.5,5.9,40.3
Jyotiba Phule Nagar,Total,100,58,5.4,53.2
Jyotiba Phule Nagar,Urban,100,50.7,4,92
Meerut,Rural,100,49.9,4.1,53.1
Meerut,Total,100,42.5,3,74.1
Meerut,Urban,100,35.9,2.1,92.9
Baghpat,Rural,100,52.3,3.2,58.8
Baghpat,Total,100,51,3.2,64.7
Baghpat,Urban,100,46.5,3.1,86.5
Ghaziabad,Rural,100,50.7,3.6,59.8
Ghaziabad,Total,100,38.9,2.3,84.6
Ghaziabad,Urban,100,34.1,1.8,94.8
Gautam Buddha Nagar,Rural,100,42.3,2.4,51.7
Gautam Buddha Nagar,Total,100,33,1.6,77.7
Gautam Buddha Nagar,Urban,100,28.1,1.3,91.5
Bulandshahr,Rural,100,56.3,4.3,30.9
Bulandshahr,Total,100,53.1,3.9,44.3
Bulandshahr,Urban,100,43.3,2.8,85
Aligarh,Rural,100,56.7,4.3,21.4
Aligarh,Total,100,52,3.8,42
Aligarh,Urban,100,42.4,2.7,84.4
Mahamaya Nagar,Rural,100,55.1,4.2,16.5
Mahamaya Nagar,Total,100,53.3,4,28.4
Mahamaya Nagar,Urban,100,46.4,3.2,72.7
Mathura,Rural,100,53.3,4,19.6
Mathura,Total,100,49.6,3.5,37.6
Mathura,Urban,100,40.5,2.3,81.2
Agra,Rural,100,52.9,4.3,16.6
Agra,Total,100,46.2,3.2,46.3
Agra,Urban,100,38.2,1.9,82
Firozabad,Rural,100,57.6,6.7,11.4
Firozabad,Total,100,55.7,5.8,35.6
Firozabad,Urban,100,52.1,4,82.1
Mainpuri,Rural,100,53.4,7.5,13.5
Mainpuri,Total,100,51.6,7,23.2
Mainpuri,Urban,100,41.6,4.4,75.4
Budaun,Rural,100,65.4,8.1,21
Budaun,Total,100,62.9,7.7,31.2
Budaun,Urban,100,51.8,6.3,77.5
Bareilly,Rural,100,63,7.7,44.8
Bareilly,Total,100,57,6.3,62
Bareilly,Urban,100,46.6,4,92.3
Pilibhit,Rural,100,62.7,9.2,35.5
Pilibhit,Total,100,59.7,9.1,44.9
Pilibhit,Urban,100,45.6,8.4,88.8
Shahjahanpur,Rural,100,61.5,12,27
