District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Subarnapur,Rural,100,74,7.2,7.9
Subarnapur,Total,100,73,7.1,10.3
Subarnapur,Urban,100,61.4,5.8,39
Balangir,Rural,100,68.6,7,10.1
Balangir,Total,100,66.3,7,15.1
Balangir,Urban,100,46.9,6.8,58.1
Nuapada,Rural,100,72.9,4.8,12.7
Nuapada,Total,100,71.9,4.9,14.5
Nuapada,Urban,100,52.7,6.5,48.4
Kalahandi,Rural,100,70.3,9.4,8.2
Kalahandi,Total,100,68.8,9.3,11.7
Kalahandi,Urban,100,47.8,6.9,58.8
Rayagada,Rural,100,69.7,5.7,6.6
Rayagada,Total,100,64.6,5.5,14.8
Rayagada,Urban,100,35.8,4.3,60.5
Nabarangapur,Rural,100,69.3,4.4,5.8
Nabarangapur,Total,100,67.9,4.4,9.3
Nabarangapur,Urban,100,51.4,4.9,53.4
Koraput,Rural,100,65.7,5.3,8.2
Koraput,Total,100,61.4,5.4,17.4
Koraput,Urban,100,38.9,5.6,64.9
Malkangiri,Rural,100,67.3,7.4,6
Malkangiri,Total,100,65.6,7.5,9.3
Malkangiri,Urban,100,45.7,8.4,47.7
Koriya,Rural,100,50.5,2.2,8.5
Koriya,Total,100,46.7,1.9,23.4
Koriya,Urban,100,37.5,1.3,59.3
Surguja,Rural,100,49,2.1,21.5
Surguja,Total,100,47.2,2.1,25.1
Surguja,Urban,100,29.4,1.6,61.3
Jashpur,Rural,100,41.9,1.8,11.8
Jashpur,Total,100,41.6,1.7,14.2
Jashpur,Urban,100,37.8,1.2,42.2
Raigarh,Rural,100,57.4,4.8,13
Raigarh,Total,100,54.6,4.6,19.3
Raigarh,Urban,100,37.8,3,57.3
Korba,Rural,100,54.4,3.2,11.9
Korba,Total,100,45.8,2.6,28.1
Korba,Urban,100,29.7,1.6,58.6
Janjgir - Champa,Rural,100,59,5.6,11
Janjgir - Champa,Total,100,57.1,5.4,15.2
Janjgir - Champa,Urban,100,43.8,3.8,44.4
Bilaspur,Rural,100,59.1,5.2,16.6
Bilaspur,Total,100,53.8,4.7,27.8
Bilaspur,Urban,100,36.1,3.1,65.7
Kabeerdham,Rural,100,60.9,6.2,9
Kabeerdham,Total,100,58.4,6.1,13.2
Kabeerdham,Urban,100,36.7,5.1,49.5
Rajnandgaon,Rural,100,47.7,3.4,18.5
Rajnandgaon,Total,100,44.9,3.2,25
Rajnandgaon,Urban,100,32.8,2.5,53.2
Durg,Rural,100,52.4,5,14
Durg,Total,100,43.5,3.9,33
Durg,Urban,100,29.6,2.2,62.6
Raipur,Rural,100,57,5.9,12.9
Raipur,Total,100,47.7,4.9,31
Raipur,Urban,100,30.1,2.9,65
Mahasamund,Rural,100,60,4.6,15.2
Mahasamund,Total,100,58.1,4.6,18.8
Mahasamund,Urban,100,41.2,4.1,50.1
Dhamtari,Rural,100,55.1,4.2,24.2
Dhamtari,Total,100,52.1,4.1,29.7
Dhamtari,Urban,100,39.2,3.5,53.6
Uttar Bastar Kanker,Rural,100,46.5,3,14.8
Uttar Bastar Kanker,Total,100,45.6,3,19.7
Uttar Bastar Kanker,Urban,100,37.8,3.2,60.9
Bastar,Rural,100,52.2,3.4,13.9
Bastar,Total,100,49.9,3.3,20.3
Bastar,Urban,100,35.4,2.9,61
Narayanpur,Rural,100,57.6,4.4,4.1
Narayanpur,Total,100,57.2,4.1,10.7
Narayanpur,Urban,100,55.3,2.2,44.2
Dakshin Bastar Dantewada,Rural,100,50.1,3.2,7.2
Dakshin Bastar Dantewada,Total,100,47.3,3.2,15.3
Dakshin Bastar Dantewada,Urban,100,35.3,2.9,49.8
Bijapur,Rural,100,56.5,4.2,2.7
Bijapur,Total,100,57,4.1,5.6
Bijapur,Urban,100,61.2,3.1,28.1
Sheopur,Rural,100,60.4,5.3,5.8
Sheopur,Total,100,57.6,5,12.9
Sheopur,Urban,100,40.6,3.2,57.2
Morena,Rural,100,53.5,5.2,6.7
Morena,Total,100,49.7,4.5,20.9
Morena,Urban,100,35.7,2.1,73.8
Bhind,Rural,100,51.6,4.6,9.3
Bhind,Total,100,49,4.1,23
Bhind,Urban,100,40.7,2.5,67.3
Gwalior,Rural,100,48.1,4.5,17.3
Gwalior,Total,100,35.2,3,59.8
Gwalior,Urban,100,26.9,2,87
Datia,Rural,100,46.7,2.7,11.3
Datia,Total,100,44.2,2.8,22.1
Datia,Urban,100,34.8,3,63.1
Shivpuri,Rural,100,54.3,4.2,5.6
Shivpuri,Total,100,50.9,4,14.6
Shivpuri,Urban,100,31.5,2.8,65.7
Tikamgarh,Rural,100,44.7,2.9,3.9
Tikamgarh,Total,100,42.9,2.8,10.2
Tikamgarh,Urban,100,32.9,2.7,45.2
Chhatarpur,Rural,100,45.2,2.6,5.2
Chhatarpur,Total,100,42.1,2.4,15.3
Chhatarpur,Urban,100,29.1,1.6,57.9
Panna,Rural,100,47.5,3,5
Panna,Total,100,46.3,2.9,10.2
Panna,Urban,100,36,2.3,53.8
Sagar,Rural,100,51.6,4.7,11.2
Sagar,Total,100,46.5,4.1,25.1
Sagar,Urban,100,32.1,2.5,64.7
Damoh,Rural,100,54.1,5,5.9
Damoh,Total,100,50.7,4.6,14.4
Damoh,Urban,100,34.1,2.9,56.2
Satna,Rural,100,39.2,2.2,22.8
Satna,Total,100,36.3,2.2,29.8
Satna,Urban,100,23.4,2.3,60.5
Rewa,Rural,100,34.7,2.1,17.8
Rewa,Total,100,32.9,2.2,23.4
Rewa,Urban,100,21.8,2.4,59.5
Umaria,Rural,100,47.2,4.2,5.8
Umaria,Total,100,44.2,3.9,13.7
Umaria,Urban,100,28.3,2.1,55.2
Neemuch,Rural,100,46.3,2.8,13.2
Neemuch,Total,100,41.5,2.4,26.3
Neemuch,Urban,100,27.6,1.4,63.6
Mandsaur,Rural,100,49.7,2.3,13.3
Mandsaur,Total,100,45.8,2.2,24
Mandsaur,Urban,100,29.5,1.7,68.2
Ratlam,Rural,100,57.7,3.5,13.4
Ratlam,Total,100,49.3,2.9,32.8
Ratlam,Urban,100,27.5,1.4,82.8
Ujjain,Rural,100,54.9,3.8,17.9
Ujjain,Total,100,45.4,3.1,43
Ujjain,Urban,100,30.1,1.9,83.6
Shajapur,Rural,100,56.7,4.4,13.4
Shajapur,Total,100,52.2,4,23.1
Shajapur,Urban,100,32.1,2.4,66.7
Dewas,Rural,100,49,6.2,21.7
Dewas,Total,100,43.9,5.2,37
Dewas,Urban,100,30.5,2.6,77.3
Dhar,Rural,100,56.5,4.7,19.2
Dhar,Total,100,51.6,4.4,30.1
Dhar,Urban,100,30.7,3,76.4
Indore,Rural,100,41.4,4.6,41.5
Indore,Total,100,27.8,3.2,78.1
Indore,Urban,100,23.3,2.7,90.3
Khargone (West Nimar),Rural,100,56.9,6.3,13
Khargone (West Nimar),Total,100,52.7,5.8,22.4
Khargone (West Nimar),Urban,100,29.5,3.2,73.8
Barwani,Rural,100,60.2,5.2,10.3
Barwani,Total,100,56.7,5,18.9
Barwani,Urban,100,37.4,4.1,66.1
Rajgarh,Rural,100,60.4,6.5,7.8
Rajgarh,Total,100,56.6,6,15.9
Rajgarh,Urban,100,35.7,3.2,61
Vidisha,Rural,100,45.2,3,11.5
Vidisha,Total,100,42,2.8,24.7
Vidisha,Urban,100,30.6,2.1,71.5
Bhopal,Rural,100,46.6,4.3,21.5
Bhopal,Total,100,33.2,2.9,72.2
Bhopal,Urban,100,30.1,2.6,83.9
Sehore,Rural,100,43.6,6.6,21.7
Sehore,Total,100,41.4,5.9,31.9
Sehore,Urban,100,31.3,2.5,79.1
Raisen,Rural,100,46.4,7.2,18.5
Raisen,Total,100,44.3,6.5,30.1
Raisen,Urban,100,36.4,4,72
Betul,Rural,100,45.6,4.8,12.9
Betul,Total,100,42.5,4.4,24.8
Betul,Urban,100,30.3,3,71.6
Harda,Rural,100,42.2,7.7,38.3
Harda,Total,100,39,7,46.6
Harda,Urban,100,26.5,4.4,79.3
Hoshangabad,Rural,100,43.9,10.2,33.8
Hoshangabad,Total,100,39.2,8.1,48.3
Hoshangabad,Urban,100,28.7,3.4,80.6
Katni,Rural,100,46.5,4.4,8.6
Katni,Total,100,43.1,4,19.4
Katni,Urban,100,28.6,2.4,65.8
Jabalpur,Rural,100,46.2,5.7,26.8
Jabalpur,Total,100,37.1,4.2,55.7
Jabalpur,Urban,100,29.4,2.9,80.2
Narsimhapur,Rural,100,48.9,9.8,27.5
Narsimhapur,Total,100,46.3,9.2,35.2
Narsimhapur,Urban,100,33.7,5.9,71.8
Dindori,Rural,100,51.2,2.7,3.7
Dindori,Total,100,50.6,2.8,5.9
Dindori,Urban,100,37.7,5.5,55.3
Mandla,Rural,100,43.2,4.3,6.7
Mandla,Total,100,41.5,4.3,13.3
Mandla,Urban,100,28.6,4,65.1
Chhindwara,Rural,100,50.3,5.1,12.3
Chhindwara,Total,100,46.2,4.7,25.5
Chhindwara,Urban,100,33.5,3.7,66.3
Seoni,Rural,100,45.1,4.9,15.2
Seoni,Total,100,43.1,4.8,21.8
Seoni,Urban,100,27.7,3.5,73.9
Balaghat,Rural,100,38.3,5.4,11.7
Balaghat,Total,100,37.1,5.1,18.6
Balaghat,Urban,100,29.4,3.4,63.1
Guna,Rural,100,49.2,2.9,7.4
Guna,Total,100,45.4,3,19.8
Guna,Urban,100,33.6,3.3,59.6
Ashoknagar,Rural,100,44,2.7,7
Ashoknagar,Total,100,42.9,2.5,15.4
Ashoknagar,Urban,100,37.8,1.7,56.3
Shahdol,Rural,100,44.2,2.9,7.6
Shahdol,Total,100,41.5,2.9,17.5
Shahdol,Urban,100,29.2,2.7,63.7
Anuppur,Rural,100,36.8,1.9,4.4
Anuppur,Total,100,33.8,2,17.7
Anuppur,Urban,100,25,2.2,56.9
Sidhi,Rural,100,38.2,1.9,4.1
Sidhi,Total,100,37.3,1.9,7.5
Sidhi,Urban,100,26.8,1.5,49
Singrauli,Rural,100,44.4,1.9,2.2
Singrauli,Total,100,41.2,2,11.3
Singrauli,Urban,100,27.1,2.6,52.1
Jhabua,Rural,100,62.6,5.1,5.8
Jhabua,Total,100,59.5,4.8,11.7
Jhabua,Urban,100,25.5,1.8,76.8
Alirajpur,Rural,100,62.1,4,5
Alirajpur,Total,100,59.5,3.9,10.5
Alirajpur,Urban,100,29.8,2.6,75.3
Khandwa (East Nimar),Rural,100,52.4,8,17.4
Khandwa (East Nimar),Total,100,48.5,7.4,26.9
Khandwa (East Nimar),Urban,100,31.1,4.4,69.3
Burhanpur,Rural,100,48.4,6.4,18.5
Burhanpur,Total,100,46.2,5.6,35.1
Burhanpur,Urban,100,41.7,3.9,68.6
Kachchh,Rural,100,25.4,1.1,49.2
Kachchh,Total,100,23.9,1.1,63
Kachchh,Urban,100,21.4,1,87.9
Banas Kantha,Rural,100,38.8,4,17.1
Banas Kantha,Total,100,36.6,3.6,26
Banas Kantha,Urban,100,23.8,1.5,78
Patan,Rural,100,37.3,3.8,35.9
Patan,Total,100,34.7,3.3,46.1
Patan,Urban,100,25.5,1.5,82.4
Mahesana,Rural,100,32.8,2.6,44.4
Mahesana,Total,100,30,2.2,54.7
Mahesana,Urban,100,21.8,1.3,85
Sabar Kantha,Rural,100,41.1,2.1,31.1
Sabar Kantha,Total,100,38.9,2,38.2
Sabar Kantha,Urban,100,27.1,1.6,76.7
Gandhinagar,Rural,100,36.6,2.3,42.8
Gandhinagar,Total,100,31.2,1.8,59.6
Gandhinagar,Urban,100,24.4,1.3,80.8
Ahmadabad,Rural,100,40.5,2,32.9
Ahmadabad,Total,100,26.4,0.8,83
Ahmadabad,Urban,100,23.9,0.6,92.1
Surendranagar,Rural,100,36.4,2.3,20.8
Surendranagar,Total,100,32.7,2,35.3
Surendranagar,Urban,100,23.8,1.4,70
Rajkot,Rural,100,28.4,1.5,44
Rajkot,Total,100,24.5,1.2,69.4
Rajkot,Urban,100,21.9,1.1,86.5
Jamnagar,Rural,100,30.1,1.6,34.8
Jamnagar,Total,100,26.8,1.3,57.2
Jamnagar,Urban,100,23,1,83.8
Porbandar,Rural,100,30.4,2.3,39.1
Porbandar,Total,100,27.6,1.8,57.9
Porbandar,Urban,100,24.6,1.3,77.4
Junagadh,Rural,100,32.7,1.7,46
Junagadh,Total,100,29.7,1.6,59.6
Junagadh,Urban,100,23.9,1.4,85.7
Amreli,Rural,100,28.9,1.7,52.1
Amreli,Total,100,27.8,1.5,58.8
Amreli,Urban,100,24.7,1,78.4
Bhavnagar,Rural,100,33.2,1.5,32.1
Bhavnagar,Total,100,29.9,1.3,53.9
Bhavnagar,Urban,100,25.7,1.1,81.6
Anand,Rural,100,41.3,2.1,41.3
Anand,Total,100,36.7,1.9,54
Anand,Urban,100,26.1,1.3,83
Kheda,Rural,100,42.2,2.5,25.4
Kheda,Total,100,38.3,2.3,37.3
Kheda,Urban,100,25,1.5,78.5
Panch Mahals,Rural,100,50.4,2.6,17
Panch Mahals,Total,100,46.5,2.4,27.2
Panch Mahals,Urban,100,24.4,1.1,84.1
Dohad,Rural,100,59.5,2.1,6.1
Dohad,Total,100,55.7,2,13.1
Dohad,Urban,100,23.6,1.1,71.8
Vadodara,Rural,100,46,2,28.5
Vadodara,Total,100,32.3,1.4,61.7
Vadodara,Urban,100,19.9,0.8,91.9
Narmada,Rural,100,43.9,1.3,16
Narmada,Total,100,42.8,1.4,22.3
Narmada,Urban,100,33.7,1.9,74.7
Bharuch,Rural,100,38.2,1.5,45.8
Bharuch,Total,100,31.9,1.2,61.2
Bharuch,Urban,100,20.2,0.6,89.4
The Dangs,Rural,100,36.3,1.1,25.3
The Dangs,Total,100,35.4,1,28.4
The Dangs,Urban,100,26.8,0.7,57.8
Navsari,Rural,100,34.5,1.4,44.5
Navsari,Total,100,30,1.2,57.2
Navsari,Urban,100,20,0.9,85.7
Valsad,Rural,100,39.7,1.3,27.6
Valsad,Total,100,33.6,1.1,47.2
Valsad,Urban,100,24.6,0.9,76
Surat,Rural,100,30.9,1.2,49.9
Surat,Total,100,22.1,0.6,84.9
Surat,Urban,100,19.8,0.5,93.8
Tapi,Rural,100,36.3,1,23
Tapi,Total,100,35.7,1,28.1
Tapi,Urban,100,29.8,0.8,77.5
Diu,Rural,100,12.7,0.3,43.3
Diu,Total,100,11.7,0.2,58.8
Diu,Urban,100,10.7,0.2,74.7
Daman,Rural,100,26.4,0.9,57.3
Daman,Total,100,35.5,0.6,82.4
Daman,Urban,100,37.1,0.6,86.8
Dadra & Nagar Haveli,Rural,100,45.5,0.8,26.5
Dadra & Nagar Haveli,Total,100,32.7,0.5,54.7
Dadra & Nagar Haveli,Urban,100,20.8,0.2,81.3
Nandurbar,Rural,100,48.9,3.9,22.3
Nandurbar,Total,100,45.9,3.8,28.7
Nandurbar,Urban,100,29.2,3.3,63.5
Dhule,Rural,100,37.4,3.4,18.7
Dhule,Total,100,33.5,3,31.2
Dhule,Urban,100,22.7,1.6,65.3
Jalgaon,Rural,100,38.9,5.5,22.6
Jalgaon,Total,100,35.3,4.3,35.5
Jalgaon,Urban,100,27.1,1.7,64.9
Buldana,Rural,100,46.9,6.7,29.1
Buldana,Total,100,44.4,6.1,35.3
Buldana,Urban,100,34.4,3.5,60.9
Akola,Rural,100,47.5,7.1,30.9
Akola,Total,100,42.5,5.9,46.1
Akola,Urban,100,33.8,3.7,72.3
Washim,Rural,100,46.3,6.7,27.5
Washim,Total,100,44.6,6,33.8
Washim,Urban,100,35.7,2.6,67.3
Amravati,Rural,100,44.6,6.6,41.1
Amravati,Total,100,40.2,5.4,53.7
Amravati,Urban,100,31.3,2.9,78.6
Wardha,Rural,100,43.7,9.5,47.2
Wardha,Total,100,37.7,7.7,56.7
Wardha,Urban,100,24,3.7,78.4
Nagpur,Rural,100,39,8.3,46.1
Nagpur,Total,100,28.7,4.6,75.7
Nagpur,Urban,100,23.7,2.8,90
Bhandara,Rural,100,43.6,8.1,55.8
Bhandara,Total,100,40.1,7.2,61.2
Bhandara,Urban,100,25,3.4,84.3
Gondiya,Rural,100,40.3,5.2,47.5
Gondiya,Total,100,38.1,4.9,52.4
Gondiya,Urban,100,27,3.3,77.3
Gadchiroli,Rural,100,42.6,8.7,22.2
Gadchiroli,Total,100,40.9,8.1,27
Gadchiroli,Urban,100,27,4,65.9
Chandrapur,Rural,100,41.3,11.2,29.1
Chandrapur,Total,100,35.9,8.6,43.3
Chandrapur,Urban,100,25.2,3.4,71.7
Yavatmal,Rural,100,46.9,8.1,21.8
Yavatmal,Total,100,43.4,7.3,31
Yavatmal,Urban,100,29.3,3.9,68.2
Nanded,Rural,100,51.2,7.8,19.2
Nanded,Total,100,47,6.8,33.1
Nanded,Urban,100,35,4,73.2
Hingoli,Rural,100,46.7,6,26.9
Hingoli,Total,100,45.6,5.6,32.4
Hingoli,Urban,100,38.7,3.1,65.7
Parbhani,Rural,100,47.3,8.3,13.3
Parbhani,Total,100,44,7.2,28.8
Parbhani,Urban,100,35.8,4.4,66.9
Jalna,Rural,100,41,6.9,29.2
Jalna,Total,100,40.2,6.2,36.5
Jalna,Urban,100,36.5,3.1,70.2
Aurangabad,Rural,100,39.7,8,19.8
Aurangabad,Total,100,32.3,5.2,48.9
Aurangabad,Urban,100,22.6,1.4,87.4
Nashik,Rural,100,34.5,5.6,29.3
Nashik,Total,100,30,4.2,46.8
Nashik,Urban,100,24.3,2.5,69.1
Thane,Rural,100,36.8,5.8,39.7
Thane,Total,100,25,2.1,67
Thane,Urban,100,21.7,1.1,74.5
Mumbai Suburban,Total,100,27.1,1.4,54.7
Mumbai Suburban,Urban,100,27.1,1.4,54.7
Mumbai,Total,100,26.2,1.5,67
Mumbai,Urban,100,26.2,1.5,67
Raigarh,Rural,100,28.3,3.6,50.9
Raigarh,Total,100,24.4,2.6,62
Raigarh,Urban,100,17.7,1.1,81
Pune,Rural,100,23.9,4.9,61.8
Pune,Total,100,22,2.6,73.8
Pune,Urban,100,20.9,1.3,80.5
Ahmadnagar,Rural,100,30.6,7.4,39.1
Ahmadnagar,Total,100,29.1,6.4,46.1
Ahmadnagar,Urban,100,23.1,2.5,73.6
Bid,Rural,100,41,8,15.4
Bid,Total,100,39.2,7.1,25.1
Bid,Urban,100,30.8,2.9,69.1
Latur,Rural,100,40.1,5.7,24.8
Latur,Total,100,37.8,4.9,37.6
Latur,Urban,100,30.6,2.6,77.9
Osmanabad,Rural,100,38.2,6.2,22.2
Osmanabad,Total,100,37.2,5.6,27.7
Osmanabad,Urban,100,31.6,2.8,57.8
Solapur,Rural,100,29.6,7.8,32.1
Solapur,Total,100,30,5.9,41.3
Solapur,Urban,100,30.8,1.9,60.9
Satara,Rural,100,27.8,5.3,70.1
Satara,Total,100,26.4,4.8,71.1
Satara,Urban,100,20.7,2.7,75.4
Ratnagiri,Rural,100,28.7,4.1,67.2
Ratnagiri,Total,100,26.9,3.8,69.4
Ratnagiri,Urban,100,16.6,1.9,82
Sindhudurg,Rural,100,27.6,4.6,74.4
Sindhudurg,Total,100,27.2,4.4,75.9
Sindhudurg,Urban,100,23.8,3,86.8
Kolhapur,Rural,100,24.3,2,74.4
Kolhapur,Total,100,23.6,1.7,74.5
Kolhapur,Urban,100,22.2,1.2,74.7
Sangli,Rural,100,27.4,5.1,60.5
Sangli,Total,100,26.9,4.4,64.9
Sangli,Urban,100,25.3,2.4,77.6
Adilabad,Rural,100,35.7,6.5,13.8
Adilabad,Total,100,32.4,5.5,29.3
Adilabad,Urban,100,23.5,2.8,70.7
Nizamabad,Rural,100,31.8,4.3,29.4
Nizamabad,Total,100,30.4,3.8,41.6
Nizamabad,Urban,100,25.4,2.2,85.5
Karimnagar,Rural,100,32.4,5.1,34.2
Karimnagar,Total,100,29.7,4.3,46.2
Karimnagar,Urban,100,21,1.8,84.4
Medak,Rural,100,34.6,4.4,31.8
Medak,Total,100,31,3.7,44.1
Medak,Urban,100,19.4,1.2,84.6
Hyderabad,Total,100,19.1,0.9,98.5
Hyderabad,Urban,100,19.1,0.9,98.5
Rangareddy,Rural,100,25.5,2.2,43.5
Rangareddy,Total,100,18.8,1.1,81.4
Rangareddy,Urban,100,16.2,0.7,96
Mahbubnagar,Rural,100,30.8,6.2,17.9
Mahbubnagar,Total,100,29.2,5.6,26.4
Mahbubnagar,Urban,100,19,1.7,78.1
Nalgonda,Rural,100,34.2,5.9,31.9
Nalgonda,Total,100,32.5,5.2,40.6
Nalgonda,Urban,100,24.3,1.7,81.2
Warangal,Rural,100,38.8,8.5,29.7
Warangal,Total,100,34.8,7,43.7
Warangal,Urban,100,23.7,2.9,82.4
Khammam,Rural,100,33.9,5.2,37.4
Khammam,Total,100,31.3,4.5,48.2
Khammam,Urban,100,22.6,2.2,85.4
Srikakulam,Rural,100,32.1,3.5,12.8
Srikakulam,Total,100,30.4,3.2,21.2
Srikakulam,Urban,100,21.4,1.7,65.9
Vizianagaram,Rural,100,30.9,3.3,10.7
Vizianagaram,Total,100,28.7,3,22
Vizianagaram,Urban,100,20,1.9,66.4
Visakhapatnam,Rural,100,29.7,3.2,21.4
Visakhapatnam,Total,100,23.6,2.2,51.3
Visakhapatnam,Urban,100,17,1.1,83.5
East Godavari,Rural,100,30.4,3.9,47
East Godavari,Total,100,28.1,3.3,56.9
East Godavari,Urban,100,20.9,1.7,87.3
West Godavari,Rural,100,30,4.8,58.9
West Godavari,Total,100,28.3,4.3,64.6
West Godavari,Urban,100,21.1,2.2,88.7
Krishna,Rural,100,30.8,4.4,56.2
Krishna,Total,100,26.7,3.4,70.4
Krishna,Urban,100,20.1,1.7,93
Guntur,Rural,100,31,4.2,46.5
Guntur,Total,100,28.1,3.5,59.2
Guntur,Urban,100,21.9,1.9,86.3
Prakasam,Rural,100,29.8,4.2,28
Prakasam,Total,100,28.2,3.7,37.5
Prakasam,Urban,100,21.2,2,77.4
Sri Potti Sriramulu Nellore,Rural,100,27.9,4.3,25.5
Sri Potti Sriramulu Nellore,Total,100,24.9,3.7,39.6
Sri Potti Sriramulu Nellore,Urban,100,16.6,1.9,78.8
Y.S.R.,Rural,100,21.9,2.6,28.4
Y.S.R.,Total,100,20.8,2.1,44.8
Y.S.R.,Urban,100,18.6,1.1,79.1
Kurnool,Rural,100,27,3.3,27.6
Kurnool,Total,100,25.3,2.8,40.3
Kurnool,Urban,100,21,1.4,72.7
Anantapur,Rural,100,21.7,2.9,22
Anantapur,Total,100,21.5,2.5,36.8
Anantapur,Urban,100,20.9,1.3,76.2
Chittoor,Rural,100,22.4,3.7,19.6
Chittoor,Total,100,20.2,3,37.4
Chittoor,Urban,100,14.7,1.2,81.5
Belgaum,Rural,100,38.5,4.7,18.5
Belgaum,Total,100,35.1,3.9,32.8
Belgaum,Urban,100,25.5,1.9,72.4
Bagalkot,Rural,100,42.9,5.2,7.2
Bagalkot,Total,100,39.6,4.7,18.8
Bagalkot,Urban,100,32.9,3.7,42.5
Bijapur,Rural,100,41.7,6.8,5
Bijapur,Total,100,38.3,5.9,18.1
Bijapur,Urban,100,27.7,2.9,59.5
Bidar,Rural,100,56.7,5,8.8
Bidar,Total,100,50.2,4.5,23.2
Bidar,Urban,100,30,3,68.1
Raichur,Rural,100,43.2,7.1,10
Raichur,Total,100,39.9,6.2,20.7
Raichur,Urban,100,30.9,3.6,50.4
Koppal,Rural,100,39.4,5.2,12
Koppal,Total,100,37.2,4.9,18.5
Koppal,Urban,100,26.7,3.7,48.4
Gadag,Rural,100,41.8,5.1,9.2
Gadag,Total,100,39.6,4.5,21.2
Gadag,Urban,100,35.7,3.4,42.3
Dharwad,Rural,100,40.4,3.9,23.1
Dharwad,Total,100,33.8,2.8,57
Dharwad,Urban,100,29,2,82
Uttara Kannada,Rural,100,48.1,6.4,50.6
Uttara Kannada,Total,100,45,5.4,59.3
Uttara Kannada,Urban,100,37.3,3.2,80.6
Haveri,Rural,100,44.9,5,28.2
Haveri,Total,100,41.6,4.5,37.3
Haveri,Urban,100,29.9,2.9,69.7
Bellary,Rural,100,39.9,5.4,12.1
Bellary,Total,100,35.5,4.5,32.4
Bellary,Urban,100,28.8,3,63.5
Chitradurga,Rural,100,45,5.9,19.1
Chitradurga,Total,100,42.3,5.1,30.3
Chitradurga,Urban,100,31.7,2,73.9
Davanagere,Rural,100,46.1,5.8,29.8
Davanagere,Total,100,41,4.8,46.4
Davanagere,Urban,100,30.7,2.8,80.9
Shimoga,Rural,100,45.8,7.3,61.8
Shimoga,Total,100,40.9,5.8,71.2
Shimoga,Urban,100,32.2,3.2,87.7
Udupi,Rural,100,34.5,4.2,83.6
Udupi,Total,100,31.7,3.6,87.2
Udupi,Urban,100,25,2.1,96
Chikmagalur,Rural,100,45.5,5.5,54.1
Chikmagalur,Total,100,42.3,4.9,61.5
Chikmagalur,Urban,100,30.5,2.9,89.4
Tumkur,Rural,100,40.9,5.8,18.3
Tumkur,Total,100,38.1,5.1,32.5
Tumkur,Urban,100,27.9,2.5,82.5
Bangalore,Rural,100,28.8,2.5,74.8
Bangalore,Total,100,20.7,1.2,94.8
Bangalore,Urban,100,19.9,1.1,96.8
Mandya,Rural,100,44.2,4.5,27.5
Mandya,Total,100,41.9,4.3,37.5
Mandya,Urban,100,30.9,3.1,85.9
Hassan,Rural,100,48.7,6.2,26.7
Hassan,Total,100,44.8,5.4,39.9
Hassan,Urban,100,29.7,2.4,89.9
Dakshina Kannada,Rural,100,40.8,3.7,88.1
Dakshina Kannada,Total,100,33.8,2.7,92.7
Dakshina Kannada,Urban,100,26.3,1.6,97.6
Kodagu,Rural,100,40,4.6,78.8
Kodagu,Total,100,39,4.4,81.4
Kodagu,Urban,100,33.4,3.2,97
Mysore,Rural,100,48,5.3,27
Mysore,Total,100,39.9,4,55
Mysore,Urban,100,28.5,2.2,94.2
Chamarajanagar,Rural,100,47.5,7,15.4
Chamarajanagar,Total,100,45.8,6.6,23.5
Chamarajanagar,Urban,100,37.4,4.5,64.3
Gulbarga,Rural,100,43.4,3.7,4.5
Gulbarga,Total,100,38.6,3,25.5
Gulbarga,Urban,100,28.8,1.5,68.2
Yadgir,Rural,100,51.2,5.5,4.3
Yadgir,Total,100,48,5,11.2
Yadgir,Urban,100,34.4,2.9,40.2
Kolar,Rural,100,40.9,5.1,25.5
Kolar,Total,100,38,4,42.8
Kolar,Urban,100,31.6,1.6,80.2
Chikkaballapura,Rural,100,38.3,4.9,23
Chikkaballapura,Total,100,36,4.2,36.5
Chikkaballapura,Urban,100,27.9,1.6,84.3
Bangalore Rural,Rural,100,36.5,3.7,75.5
Bangalore Rural,Total,100,34.4,3.1,79.9
Bangalore Rural,Urban,100,29.1,1.7,91.3
Ramanagara,Rural,100,43.5,6.8,28
Ramanagara,Total,100,41.3,6,41.9
Ramanagara,Urban,100,34.2,3.2,88.5
North Goa,Rural,100,23,1.8,68.7
North Goa,Total,100,21,1.4,78.7
North Goa,Urban,100,19.6,1.1,85.3
South Goa,Rural,100,23.4,2,73.8
South Goa,Total,100,24.1,1.7,81
South Goa,Urban,100,24.4,1.5,85.2
LAKSHADWEEP,Rural,100,40.86,1.74,98.06
LAKSHADWEEP,Total,100,20.57,0.78,97.8
LAKSHADWEEP,Urban,100,14.32,0.48,97.71
Kasaragod,Rural,100,31.9,7.6,88.8
Kasaragod,Total,100,26.8,5.8,91.8
Kasaragod,Urban,100,18.5,2.7,96.6
Kannur,Rural,100,31.1,6.2,96.3
Kannur,Total,100,23.7,3.6,97.6
Kannur,Urban,100,19.4,2.1,98.5
Wayanad,Rural,100,35.4,9,91.7
Wayanad,Total,100,35.5,8.9,91.8
Wayanad,Urban,100,40,5.5,95.3
Kozhikode,Rural,100,27.1,6.6,97
Kozhikode,Total,100,21.9,4.6,97.8
Kozhikode,Urban,100,19.3,3.6,98.2
Malappuram,Rural,100,27.6,4.2,96.5
