"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Mandi","Rural",100,8196343207.7778,15996.432,819817.1399999999,8197179021.3498,0.0,8196343207.7778,15996.432,819817.1399999999,0.0,0.0,0.0
"Mandi","Total",100,8266311991.258831,15996.432,826815.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mandi","Urban",100,9195897257.506802,6998.438999999999,919794.8400000001,0.0,9196824050.7858,0.0,0.0,0.0,9195897257.506802,6998.438999999999,919794.8400000001
"Hamirpur","Rural",100,1842712150.3718398,4547.68,405198.28799999994,1843121896.33984,0.0,1842712150.3718398,4547.68,405198.28799999994,0.0,0.0,0.0
"Hamirpur","Total",100,1846848429.04832,4547.68,406107.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hamirpur","Urban",100,1908892609.1955197,2728.608,419750.86399999994,0.0,1909315088.6675198,0.0,0.0,0.0,1908892609.1955197,2728.608,419750.86399999994
"Una","Rural",100,1597133220.0625198,7296.422,306449.724,1597446966.2085197,0.0,1597133220.0625198,7296.422,306449.724,0.0,0.0,0.0
"Una","Total",100,1637876414.45187,8859.941,314267.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Una","Urban",100,2026294867.63034,25016.304,388795.058,0.0,2026708678.99234,0.0,0.0,0.0,2026294867.63034,25016.304,388795.058
"Bilaspur","Rural",100,1003725855.23968,4965.428000000001,262785.728,1003993606.3956801,0.0,1003725855.23968,4965.428000000001,262785.728,0.0,0.0,0.0
"Bilaspur","Total",100,1029986124.7081599,4965.428000000001,269660.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bilaspur","Urban",100,1364075108.5016,3055.648,357128.86000000004,0.0,1364435293.0096,0.0,0.0,0.0,1364075108.5016,3055.648,357128.86000000004
"Solan","Rural",100,24.5,1.9,69.0,95.4,0.0,24.5,1.9,69.0,0.0,0.0,0.0
"Solan","Total",100,23.3,1.8,73.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Solan","Urban",100,18.7,1.4,89.8,0.0,109.9,0.0,0.0,0.0,18.7,1.4,89.8
"Sirmaur","Rural",100,30.9,2.8,56.9,90.6,0.0,30.9,2.8,56.9,0.0,0.0,0.0
