"Unnamed: 0","State_UT","District","Population","Male","Female","Literate","Literate_Male","Literate_Female","Rural_Households","Urban_Households","Households","Young_and_Adult","Middle_Aged","Senior_Citizen","Age_Not_Stated"
175,"UTTAR PRADESH","Bara Banki","3260699","1707073",1553626,"1692458",1010518,681940,635840,"79068",714908,2043335,709494,"445269",62601
176,"UTTAR PRADESH","Faizabad","2470996","1259628",1211368,"1450901",838339,612562,510378,"79288",589666,1534832,543148,"367332",25684
177,"UTTAR PRADESH","Ambedkar Nagar","2397888","1212410",1185478,"1486939",846676,640263,501559,"65031",566590,1499494,515229,"367234",15931
178,"UTTAR PRADESH","Sultanpur","3797117","1914586",1882531,"2239902",1300248,939654,839737,"49891",889628,2376875,828222,"580164",11856
179,"UTTAR PRADESH","Bahraich","3487731","1843884",1643847,"1398368",878285,520083,698520,"61742",760262,2275746,754346,"446242",11397
180,"UTTAR PRADESH","Shrawasti","1117361","593897",523464,"423313",276700,146613,248770,"8504",257274,723443,245098,"143979",4841
182,"UTTAR PRADESH","Gonda","3433919","1787146",1646773,"1679994",1034181,645813,673578,"52794",726372,2223078,734903,"464584",11354
186,"UTTAR PRADESH","Mahrajganj","2684703","1381754",1302949,"1419144",881674,537470,573046,"34033",607079,1694493,595114,"370573",24523
187,"UTTAR PRADESH","Gorakhpur","4440895","2277777",2163118,"2700328",1593890,1106438,761958,"189170",951128,2755630,992114,"659677",33474
190,"UTTAR PRADESH","Azamgarh","4613913","2285004",2328909,"2771917",1559414,1212503,891024,"80434",971458,2930243,965876,"699954",17840
191,"UTTAR PRADESH","Mau","2205968","1114709",1091259,"1363044",773082,589962,352207,"99321",451528,1402738,467343,"1283200",12627
192,"UTTAR PRADESH","Ballia","3239774","1672902",1566872,"1963590",1160960,802630,564927,"64454",629381,1975934,724362,"502628",36850
193,"UTTAR PRADESH","Jaunpur","4494204","2220465",2273739,"2731677",1565394,1166283,926088,"80582",1006670,2826453,927026,"689979",50746
194,"UTTAR PRADESH","Ghazipur","3620268","1855075",1765193,"2197549",1293553,903996,700173,"61467",761640,2234593,774130,"556273",55272
195,"UTTAR PRADESH","Chandauli","1952756","1017905",934851,"1174606",699454,475152,344937,"50822",395759,1222695,437000,"287767",5294
196,"UTTAR PRADESH","Varanasi","3676841","1921857",1754984,"2403903",1389116,1014787,438935,"316129",755064,2260457,856070,"531549",28765
197,"UTTAR PRADESH","Sant Ravidas Nagar (Bhadohi)","1578213","807099",771114,"910146",546782,363364,293510,"45997",339507,1032294,331743,"209920",4256
199,"UTTAR PRADESH","Sonbhadra","1862559","971344",891215,"985708",601988,383720,337048,"91040",428088,1203938,418914,"237866",1841
200,"UTTAR PRADESH","Etah","1774480","947339",827141,"1055202",647042,408160,334246,"67752",401998,1149372,383707,"237427",3974
203,"BIHAR","Purba Champaran","5099371","2681209",2418162,"2276957",1407603,869354,1142260,"101565",1243825,3316422,1122340,"648009",12600
204,"BIHAR","Sheohar","656246","346673",309573,"283698",171645,112053,158484,"7516",166000,421241,139909,"93398",1698
207,"BIHAR","Supaul","2229076","1155283",1073793,"1033283",647672,385611,572287,"27815",600102,1453438,495020,"277610",3008
209,"BIHAR","Kishanganj","1690400","866970",823430,"745056",439921,305135,401793,"43357",445150,1139615,361114,"188447",1224
214,"BIHAR","Darbhanga","3937385","2059949",1877436,"1816634",1125566,691068,907174,"95539",1002713,2535344,865971,"529314",6756
216,"BIHAR","Gopalganj","2562012","1267666",1294346,"1382998",793905,589093,515925,"38133",554058,1642807,546202,"370662",2341
218,"BIHAR","Saran","3951862","2022821",1929041,"2157454",1285767,871687,701323,"76299",777622,2516115,847031,"585386",3330
219,"BIHAR","Vaishali","3495021","1844535",1650486,"1926740",1152576,774164,699317,"51494",750811,2176701,759132,"486032",73156
220,"BIHAR","Samastipur","4261566","2230003",2031563,"2142880",1293575,849305,1012979,"43486",1056465,2766930,913339,"568812",12485
221,"BIHAR","Begusarai","2970541","1567660",1402881,"1548673",918507,630166,594377,"139248",733625,1951688,644874,"369996",3983
222,"BIHAR","Khagaria","1666886","883786",783100,"768028",461153,306875,373696,"21007",394703,1114645,355531,"195796",914
225,"BIHAR","Munger","1367765","729041",638724,"801817",473741,328076,222281,"85782",308063,860147,316713,"188319",2586
230,"BIHAR","Bhojpur","2728407","1430380",1298027,"1599151",973486,625665,434559,"77368",511927,1722387,613072,"387389",5559
231,"BIHAR","Buxar","1706352","887977",818375,"989807",593544,396263,299252,"35405",334657,1074754,375372,"253998",2228
232,"BIHAR","Kaimur (Bhabua)","1626384","847006",779378,"920276",549923,370353,325143,"15299",340442,1039302,353413,"226808",6861
233,"BIHAR","Rohtas","2959918","1543546",1416372,"1799832",1061783,738049,512383,"95678",608061,1875174,673742,"407193",3809
235,"BIHAR","Gaya","4391418","2266566",2124852,"2297613",1368803,928810,696289,"111282",807571,2810026,936630,"537333",107429
238,"BIHAR","Jehanabad","1125313","585582",539731,"618881",374412,244469,186660,"28132",214792,714244,254582,"155106",1381
240,"SIKKIM","North  District","43709","24730",18979,"30450",18579,11871,11543,"2066",13609,27099,11674,"4887",49
242,"SIKKIM","South District","146850","76670",70180,"106741",59357,47384,31135,"8163",39298,87982,37318,"96754",568
244,"ARUNACHAL PRADESH","Tawang","49977","29151",20826,"26073",17720,8353,10730,"2452",13182,30709,13849,"5399",20
246,"ARUNACHAL PRADESH","East Kameng","78690","38775",39915,"38449",21599,16850,14503,"5215",19718,53752,17922,"6960",56
248,"ARUNACHAL PRADESH","Upper Subansiri","83448","41758",41690,"45278",24807,20471,14542,"4672",19214,56054,20055,"7230",109
251,"ARUNACHAL PRADESH","Upper Siang","35320","18699",16621,"18195",10723,7472,8569,"2182",10751,21090,8910,"5252",68
252,"ARUNACHAL PRADESH","Changlang","148226","76948",71278,"73174",44027,29147,33422,"6498",39920,96630,35018,"16414",164
254,"ARUNACHAL PRADESH","Lower Subansiri","83030","41843",41187,"54057",29470,24587,18112,"5365",23477,55258,20305,"7412",55
256,"ARUNACHAL PRADESH","Dibang Valley","8004","4414",3590,"4436",2614,1822,2055,"1175",3230,5113,2088,"786",17
257,"ARUNACHAL PRADESH","Lower Dibang Valley","54080","28053",26027,"31849",18087,13762,12000,"3950",15950,35140,13254,"5652",34
259,"ARUNACHAL PRADESH","Anjaw","21167","11507",9660,"9990",6523,3467,6025,"428",6453,13913,4755,"2456",43
260,"NAGALand","Mon","250260","131753",118507,"119626",67432,52194,43607,"7415",51022,168773,53600,"27437",450
261,"NAGALand","Mokokchung","194622","101092",93530,"159494",83479,76015,37536,"17742",55278,111243,52853,"30363",163
262,"NAGALand","Zunheboto","140757","71217",69540,"102881",53504,49377,31267,"6044",37311,91709,32267,"16730",51
263,"NAGALand","Wokha","166343","84505",81838,"128208",67385,60823,38499,"8170",46669,106951,40510,"18811",71
264,"NAGALand","Dimapur","378811","197394",181417,"278037",150142,127895,49116,"62853",111969,243392,98601,"36618",200
265,"NAGALand","Phek","163418","83743",79675,"105893",57926,47967,38903,"7295",46198,108514,37842,"16969",93
268,"NAGALand","Kiphire","74004","37830",36174,"41232",22675,18557,16032,"4290",20322,52699,14955,"6309",41
269,"NAGALand","Kohima","267988","138966",129022,"197489",107038,90451,31845,"44255",76100,173701,68485,"163017",245
270,"NAGALand","Peren","95219","49714",45505,"62204",34584,27620,20204,"4073",24277,64393,21597,"52496",73
272,"MANIPUR","Tamenglong","140651","72371",68280,"85006",47403,37603,23982,"4119",28101,90273,33290,"16924",164
273,"MANIPUR","Churachandpur","274143","138820",135323,"195935",104013,91922,52972,"4853",57825,168608,67802,"37096",637
274,"MANIPUR","Bishnupur","237399","118782",118617,"156333",87313,69020,34977,"21172",56149,135220,62907,"38815",457
275,"MANIPUR","Thoubal","422168","210845",211323,"269304",152617,116687,65961,"38302",104263,251975,107196,"62060",937
276,"MANIPUR","Imphal West","517992","255054",262938,"392626",205985,186641,51055,"85746",136801,278940,148146,"89394",1512
277,"MANIPUR","Imphal East","456113","226094",230019,"324664",173314,151350,64421,"46520",110941,261530,123439,"70005",1139
278,"MANIPUR","Ukhrul","183998","94718",89280,"129829",70148,59681,36084,"5806",41890,113715,43646,"25165",1472
279,"MANIPUR","Chandel","144182","74579",69603,"90302",51053,39249,30377,"3783",34160,86255,39324,"18329",274
281,"MIZORAM","Kolasib","83955","42918",41037,"65895",34147,31748,9669,"12507",22176,52147,20576,"11167",65
282,"MIZORAM","Aizawl","400309","199270",201039,"340595",169547,171048,20570,"80341",100911,235892,108094,"56092",231
284,"MIZORAM","Serchhip","64937","32851",32086,"54476",27598,26878,7472,"8018",15490,39568,15894,"9404",71
287,"MIZORAM","Saiha","56574","28594",27980,"42233",21861,20372,7043,"5784",12827,37127,12784,"6636",27
288,"TRIPURA","West Tripura","1725739","879428",846311,"1361354",722998,638356,289621,"217016",506637,940424,499719,"284637",959
289,"TRIPURA","South Tripura","876001","447544",428457,"646810",351082,295728,219171,"44906",264077,505558,236676,"133424",343
290,"TRIPURA","Dhalai","378230","194544",183686,"276217",151643,124574,89457,"14071",103528,232286,95548,"50269",127
291,"TRIPURA","North Tripura","693947","352860",341087,"520402",275646,244756,150437,"42184",192621,414878,178608,"100274",187
292,"MEGHALAYA","West Garo Hills","643291","324159",319132,"358702",193438,165264,139351,"18594",157945,427629,143604,"360725",1459
293,"MEGHALAYA","East Garo Hills","317917","161223",156694,"192147",102513,89634,62698,"11518",74216,216742,70424,"29926",825
294,"MEGHALAYA","South Garo Hills","142334","73170",69164,"82062",45003,37059,35930,"3713",39643,97082,30605,"14495",152
295,"MEGHALAYA","West Khasi Hills","383461","193715",189746,"230678",117307,113371,74832,"12299",87131,278569,69988,"33431",1473
296,"MEGHALAYA","Ribhoi","258840","132531",126309,"155859",80977,74882,57988,"5736",63724,183343,52945,"128629",187
297,"MEGHALAYA","East Khasi Hills","825922","410749",415173,"578030",287270,290760,106248,"108843",215091,545961,192428,"86576",957
302,"ASSAM","Barpeta","1693622","867004",826618,"897058",499038,398020,447189,"52192",499381,1072312,405046,"215355",909
303,"ASSAM","Morigaon","957423","486651",470772,"539902",289698,250204,232206,"25275",257481,612737,225224,"118271",1191
307,"ASSAM","Dhemaji","686133","351249",334884,"423028",237761,185267,211758,"16504",228262,434221,169630,"82051",231
308,"ASSAM","Tinsukia","1327929","680231",647698,"798322",453449,344873,290704,"90910",381614,799874,352158,"175377",520
309,"ASSAM","Dibrugarh","1326335","676434",649901,"884531",491361,393170,299852,"77163",377015,767147,371864,"186774",550
310,"ASSAM","Sivasagar","1151050","589216",561834,"813505",444767,368738,360182,"45047",405229,648056,330947,"171710",337
312,"ASSAM","Golaghat","1066888","543161",523727,"721764",396475,325289,292893,"34190",327083,629153,289085,"148244",406
313,"ASSAM","Karbi Anglong","956313","490167",466146,"557214",314253,242961,215691,"37185",252876,618633,233739,"103123",818
314,"ASSAM","Dima Hasao","214102","110802",103300,"140873",78559,62314,37610,"21309",58919,135463,53699,"24830",110
316,"ASSAM","Karimganj","1228686","625864",602822,"795297",435942,359355,261945,"32695",294640,779850,284368,"163990",478
