,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
864,B09X7DY7Q4,SanDisk Extreme SD U,Electronics|Accessories|MemoryCards|MicroSD,939,1800,48,4.5,205052
865,B09YV575RK,Fire-Boltt Ring Pro ,Electronics|WearableTechnology|SmartWatches,2499,9999,75,4.0,9090
866,B08LW31NQ6,Lenovo 600 Bluetooth,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",1439,2890,50,4.5,4099
867,B09ND94ZRG,Boult Audio Airbass ,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1099,5999,82,3.5,12966
868,B00P93X6EK,Classmate Soft Cover,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",157,160,2,4.5,4428
869,B07KRCW6LZ,TP-Link Nano AC600 U,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,999,1599,38,4.3,12093
870,B0994GP1CX,LS LAPSTER Quality A,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",115,999,88,3.3,5692
871,B07H8W9PB6,KLAM LCD Writing Tab,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",175,499,65,4.1,21
872,B09NNHFSSF,CP PLUS 2MP Full HD ,Electronics|Cameras&Photography|SecurityCameras|DomeCameras,1999,4700,57,3.8,1880
873,B08D9NDZ1Y,HP Deskjet 2331 Colo,"Computers&Accessories|Printers,Inks&Accessories|Printers",3999,4332.96,8,3.5,21762
874,B0085IATT6,D-Link DIR-615 Wi-fi,Computers&Accessories|NetworkingDevices|Routers,899,1800,50,4.1,22375
875,B08WJ86PV2,RPM Euro Games Gamin,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",299,990,70,4.5,2453
876,B078HRR1XV,Wacom One by CTL-472,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",3303,4699,30,4.4,13544
877,B09P22HXH6,Lenovo 300 FHD Webca,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,1890,5490,66,4.1,10976
878,B00LM4X3XE,Parker Quink Ink Bot,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",90,100,10,4.3,3061
879,B09YLFHFDW,Sony WI-C100 Wireles,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1599,2790,43,3.6,2272
880,B07YWS9SP9,"Zebronics, ZEB-NC330",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,599,999,40,4.0,7601
881,B002PD61Y4,D-Link DWA-131 300 M,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507,1208,58,4.1,8131
882,B08WLY8V9S,Tukzer Gel Mouse Pad,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",425,899,53,4.5,4219
883,B0873L7J6X,Infinity (JBL Glide ,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",1499,3999,63,4.2,42775
884,B07YNHCW6N,Robustrion Smart Tri,"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",549,2499,78,4.3,5556
885,B07232M876,Amazonbasics Micro U,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,395,50,4.2,92595
886,B01MQ2A86A,Logitech M331 Silent,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",1295,1645,21,4.6,12375
887,B00KIE28X0,Camel Artist Acrylic,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,310,310,0,4.5,5882
888,B08BQ947H3,LIRAMARK Webcam Cove,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,149,149,0,4.3,10833
889,B0BHYJ8CVF,Portronics Key2 Comb,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1149,1499,23,4.1,10443
890,B0BCVJ3PVP,SupCares Laptop Stan,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,499,1299,62,4.5,434
891,B0B2931FCV,ZEBRONICS Zeb-Sound ,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",999,4199,76,3.5,1913
892,B09TMZ1MF8,Western Digital WD G,Computers&Accessories|Components|InternalSolidStateDrives,1709,4000,57,4.4,3029
893,B07VV37FT4,Classmate Octane Neo,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",250,250,0,4.2,2628
894,B07P681N66,TP-Link AC600 600 Mb,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1199,2199,45,4.4,24780
895,B07JB2Y4SR,Classmate Octane Col,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,90,100,10,4.4,10718
896,B08KRMK9LZ,"Tukzer Stylus Pen, i",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,2025,5999,66,4.2,6233
897,B08LT9BMPP,Logitech G102 USB Li,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,1495,1995,25,4.5,10541
898,B082T6V3DT,AmazonBasics New Rel,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799,2100,62,4.3,8188
899,B0814ZY6FP,Zebronics ZEB-VITA W,Electronics|HomeAudio|Speakers|BluetoothSpeakers,899,1199,25,3.8,10751
900,B09F3PDDRF,Lapster USB 3.0 sata,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,349,999,65,3.9,817
901,B07X963JNS,URBN 10000 mAh Lithi,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,900,2499,64,4.0,36384
902,B09LD3116F,Qubo Smart Cam 360 f,Electronics|Cameras&Photography|SecurityCameras|DomeCameras,2490,3990,38,4.1,3606
903,B08Y5QJTVK,Duracell CR2025 3V L,Electronics|GeneralPurposeBatteries&BatteryChargers,116,200,42,4.4,357
904,B00LY1FN1K,Camel Fabrica Acryli,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,200,230,13,4.4,10170
905,B07DJ5KYDZ,Lenovo GX20L29764 65,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,1249,2796,55,4.4,4598
906,B009LJ2BXA,Hp Wired On Ear Head,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,649,999,35,3.5,7222
907,B09BVCVTBC,Redragon K617 Fizz 6,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,2649,3499,24,4.5,1271
908,B0BFWGBX61,Ambrane Unbreakable ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,349,43,4.1,314
909,B07SY4C3TD,HP GT 53 XL Cartridg,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",596,723,18,4.4,3219
910,B094JB13XL,Noise ColorFit Ultra,Electronics|WearableTechnology|SmartWatches,2499,5999,58,4.1,38879
911,B08CRRQK6Z,Zebronics Zeb-JUKEBA,Electronics|HomeAudio|Speakers|SoundbarSpeakers,4999,12499,60,4.2,4541
912,B08MTLLSL8,boAt Bassheads 102 W,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",399,1290,69,4.2,76042
913,B08Y57TPDM,Duracell CR2016 3V L,Electronics|GeneralPurposeBatteries&BatteryChargers,116,200,42,4.3,485
914,B09CYTJV3N,MI 360° Home Securit,Electronics|Cameras&Photography|SecurityCameras|DomeCameras,4499,5999,25,4.3,44696
915,B07GLNJC25,ZEBRONICS Zeb-100HB ,Computers&Accessories|Accessories&Peripherals|USBHubs,330,499,34,3.7,8566
916,B08FY4FG5X,Boult Audio Bass Bud,"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",649,2499,74,3.9,13049
917,B07TMCXRFV,ESR Screen Protector,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,1234,1599,23,4.5,16680
918,B01FSYQ2A4,boAt Rockerz 400 Blu,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",1399,2990,53,4.1,97174
919,B00LZPQVMK,Parker Vector Standa,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",272,320,15,4.0,3686
920,B08X77LM8C,Silicone Rubber Earb,"Electronics|Headphones,Earbuds&Accessories|Earpads",99,999,90,3.8,594
921,B01EJ5MM5M,Canon PIXMA MG2577s ,"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",3498,3875,10,3.4,12185
922,B08J82K4GX,Samsung 24-inch(60.4,Computers&Accessories|Monitors,10099,19110,47,4.3,2623
923,B07Z1Z77ZZ,AirCase Protective L,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,449,999,55,4.3,9701
